project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzHxxgZwiQcLLqX,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Add the ""@Override"" annotation above this method signature",QC:freecol:src/net/sf/freecol/client/gui/plaf/FreeColComboBoxUI.java,38.0,38.0,16.0,25.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzHxxgZwiQcLLqY,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Add the ""@Override"" annotation above this method signature",QC:freecol:src/net/sf/freecol/client/gui/plaf/FreeColComboBoxUI.java,44.0,44.0,31.0,45.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzWxxgZwiQcLLqZ,CODE_SMELL,squid:S1118,MAJOR,OPEN,,30,30,design,2017-07-03 09:56:59,2017-07-03 09:56:59,,Add a private constructor to hide the implicit public one.,QC:freecol:src/net/sf/freecol/client/gui/plaf/LAFUtilities.java,31.0,31.0,19.0,31.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzWxxgZwiQcLLqa,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-03 09:56:59,2017-07-03 09:56:59,,"Remove this unused method parameter ""c"".",QC:freecol:src/net/sf/freecol/client/gui/plaf/FreeColMenuItemUI.java,33.0,33.0,50.0,51.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5KCvxxgZwiQcLL6r,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Rename the ""logger"" logger to comply with the format ""LOG(?:GER)?"".",QC:freecol:src/net/sf/freecol/client/gui/panel/ServerListPanel.java,51.0,51.0,32.0,38.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzWxxgZwiQcLLqc,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-03 09:56:59,2017-07-03 09:56:59,,"Remove this unused method parameter ""c"".",QC:freecol:src/net/sf/freecol/client/gui/plaf/FreeColLabelUI.java,34.0,34.0,50.0,51.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5KCvxxgZwiQcLL6t,CODE_SMELL,squid:S1319,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 09:56:59,2017-07-03 09:56:59,,"The type of the ""arrayList"" object should be an interface such as ""List"" rather than the implementation ""ArrayList"".",QC:freecol:src/net/sf/freecol/client/gui/panel/ServerListPanel.java,135.0,135.0,44.0,65.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzWxxgZwiQcLLqe,CODE_SMELL,squid:S1161,MAJOR,OPEN,,5,5,bad-practice,2017-07-03 09:56:59,2017-07-03 09:56:59,,"Add the ""@Override"" annotation above this method signature",QC:freecol:src/net/sf/freecol/client/gui/plaf/FreeColLabelUI.java,45.0,45.0,16.0,21.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5JzWxxgZwiQcLLqf,CODE_SMELL,squid:S1172,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-03 09:56:59,2017-07-03 09:56:59,,"Remove this unused method parameter ""c"".",QC:freecol:src/net/sf/freecol/client/gui/plaf/FreeColCheckBoxUI.java,34.0,34.0,50.0,51.0,,
QC:freecol,AV0H5JG7xxgZwiQcLK-0,AV0H5JG7xxgZwiQcLK-0,AV0H5KCvxxgZwiQcLL6v,CODE_SMELL,squid:HiddenFieldCheck,MAJOR,OPEN,,5,5,"cert,pitfall",2017-07-03 09:56:59,2017-07-03 09:56:59,,"Rename ""stopList"" which hides the field declared at line 101.",QC:freecol:src/net/sf/freecol/client/gui/panel/TradeRouteInputDialog.java,547.0,547.0,26.0,34.0,,
