project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz39TG0XxMwG_WClL,BUG,Web:PageWithoutFaviconCheck,MAJOR,OPEN,,,,user-experience,2017-07-18 01:49:52,2017-08-29 05:19:07,,Add a 'favicon' declaration in this 'header' tag.,ch:test/assets/input/keyboard.html,3.0,3.0,0.0,8.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz38kG0XxMwG_WCkm,CODE_SMELL,javascript:TrailingComment,INFO,OPEN,,1,1,convention,2017-07-18 01:49:52,2017-08-29 05:19:07,,Move this trailing comment on the previous empty line.,ch:test/test.js,1363.0,1363.0,38.0,57.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz37mG0XxMwG_WCjI,CODE_SMELL,javascript:S100,MINOR,OPEN,,5,5,convention,2017-07-18 01:56:56,2017-08-29 05:19:07,,Rename this 'money$$money' function to match the regular expression ^[a-z][a-zA-Z0-9]*$,ch:utils/doclint/check_public_api/test/02-method-errors/foo.js,14.0,14.0,2.0,14.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz37mG0XxMwG_WCjH,CODE_SMELL,javascript:S100,MINOR,OPEN,,5,5,convention,2017-07-18 01:56:56,2017-08-29 05:19:07,,Rename this '$' function to match the regular expression ^[a-z][a-zA-Z0-9]*$,ch:utils/doclint/check_public_api/test/02-method-errors/foo.js,11.0,11.0,2.0,3.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz39EG0XxMwG_WClH,BUG,Web:PageWithoutFaviconCheck,MAJOR,OPEN,,,,user-experience,2017-07-18 01:56:56,2017-08-29 05:19:07,,Add a 'favicon' declaration in this 'header' tag.,ch:test/assets/playground.html,3.0,3.0,0.0,8.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz371G0XxMwG_WCjb,BUG,javascript:TrailingComma,BLOCKER,OPEN,,1,1,cross-browser,2017-07-18 03:22:45,2017-08-29 05:19:07,,Remove this trailing comma.,ch:lib/helper.js,79.0,79.0,27.0,28.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz38VG0XxMwG_WCkN,CODE_SMELL,javascript:S100,MINOR,OPEN,,5,5,convention,2017-07-19 02:11:37,2017-08-29 05:19:07,,Rename this '_go' function to match the regular expression ^[a-z][a-zA-Z0-9]*$,ch:lib/Page.js,429.0,429.0,8.0,11.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz371G0XxMwG_WCjZ,CODE_SMELL,javascript:FunctionDefinitionInsideLoop,MAJOR,OPEN,,30,30,suspicious,2017-07-19 04:06:03,2017-08-29 05:19:07,,Define this function outside of a loop.,ch:lib/helper.js,120.0,120.0,51.0,59.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz371G0XxMwG_WCja,CODE_SMELL,javascript:FunctionComplexity,MAJOR,OPEN,,12,12,brain-overload,2017-07-19 04:06:03,2017-08-29 05:19:07,,Function has a complexity of 12 which is greater than 10 authorized.,ch:lib/helper.js,108.0,108.0,2.0,34.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCiZ,BUG,javascript:TrailingComma,BLOCKER,OPEN,,1,1,cross-browser,2017-07-21 00:49:15,2017-08-29 05:19:07,,Remove this trailing comma.,ch:utils/fetch_devices.js,56.0,56.0,32.0,33.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCib,VULNERABILITY,javascript:S2228,MAJOR,OPEN,,5,5,"owasp-a6,user-experience",2017-07-21 00:49:15,2017-08-29 05:19:07,,Remove this logging statement.,ch:utils/fetch_devices.js,67.0,67.0,2.0,13.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCia,VULNERABILITY,javascript:S2228,MAJOR,OPEN,,5,5,"owasp-a6,user-experience",2017-07-21 00:49:15,2017-08-29 05:19:07,,Remove this logging statement.,ch:utils/fetch_devices.js,60.0,60.0,2.0,13.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz36nG0XxMwG_WCic,VULNERABILITY,javascript:S2228,MAJOR,OPEN,,5,5,"owasp-a6,user-experience",2017-07-21 00:49:15,2017-08-29 05:19:07,,Remove this logging statement.,ch:utils/fetch_devices.js,74.0,74.0,2.0,13.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz37mG0XxMwG_WCjK,CODE_SMELL,javascript:UnusedFunctionArgument,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-21 17:01:19,2017-08-29 05:19:07,,"Remove the unused function parameter ""arg1"".",ch:utils/doclint/check_public_api/test/04-bad-arguments/foo.js,2.0,2.0,14.0,18.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz37mG0XxMwG_WCjM,CODE_SMELL,javascript:UnusedFunctionArgument,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-21 17:01:19,2017-08-29 05:19:07,,"Remove the unused function parameter ""filePaths"".",ch:utils/doclint/check_public_api/test/04-bad-arguments/foo.js,5.0,5.0,10.0,19.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz37mG0XxMwG_WCjL,CODE_SMELL,javascript:UnusedFunctionArgument,MAJOR,OPEN,,5,5,"cert,misra,unused",2017-07-21 17:01:19,2017-08-29 05:19:07,,"Remove the unused function parameter ""arg3"".",ch:utils/doclint/check_public_api/test/04-bad-arguments/foo.js,2.0,2.0,20.0,24.0,,
ch,AV4sz33NG0XxMwG_WCgi,AV4sz33NG0XxMwG_WCgi,AV4sz363G0XxMwG_WCif,VULNERABILITY,javascript:S2228,MAJOR,OPEN,,5,5,"owasp-a6,user-experience",2017-07-21 18:12:05,2017-08-29 05:19:07,,Remove this logging statement.,ch:utils/doclint/cli.js,62.0,62.0,6.0,17.0,,
